Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
10E8/N6,6535_3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0646,,
10E8/N6,6540_V4_C1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0773,,
10E8/N6,6545_V4_C1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.2339,,
10E8/N6,6811_V7_C18,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.3206,,
10E8/N6,6952_V1_C20,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.002,,
10E8/N6,703010054_2A2,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.5943,,
10E8/N6,703010200_1E5,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.6041,,
10E8/N6,704809221_1B3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0649,,
10E8/N6,89_F1_2_25,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,1.005,,
10E8/N6,928_28,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0175,,
10E8/N6,A07412M1_VRC12,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0078,,
10E8/N6,AC10_29,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0725,,
10E8/N6,BF1266_431A,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1496,,
10E8/N6,BJOX009000_02_4,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1307,,
10E8/N6,BJOX010000_06_2,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1307,,
10E8/N6,BJOX015000_11_5,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0047,,
10E8/N6,BJOX025000_01_1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0231,,
10E8/N6,BJOX028000_10_3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0003,,
10E8/N6,C1080_C3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0008,,
10E8/N6,C3347_C11,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0103,,
